:START_ID,:END_ID,weight:float,source,:TYPE
EMP_0003,EMP_1070,0.4,inferred,SAME_TENURE_COHORT
EMP_0003,EMP_0150,0.4,inferred,SAME_TENURE_COHORT
EMP_0003,EMP_0034,0.4,inferred,SAME_TENURE_COHORT
EMP_0007,EMP_1265,0.4,inferred,SAME_TENURE_COHORT
EMP_0007,EMP_0461,0.4,inferred,SAME_TENURE_COHORT
EMP_0007,EMP_0392,0.4,inferred,SAME_TENURE_COHORT
EMP_0008,EMP_0371,0.4,inferred,SAME_TENURE_COHORT
EMP_0008,EMP_0199,0.4,inferred,SAME_TENURE_COHORT
EMP_0008,EMP_1263,0.4,inferred,SAME_TENURE_COHORT
EMP_0018,EMP_0119,0.4,inferred,SAME_TENURE_COHORT
EMP_0018,EMP_1130,0.4,inferred,SAME_TENURE_COHORT
EMP_0018,EMP_1265,0.4,inferred,SAME_TENURE_COHORT
EMP_0024,EMP_0872,0.4,inferred,SAME_TENURE_COHORT
EMP_0024,EMP_0103,0.4,inferred,SAME_TENURE_COHORT
EMP_0024,EMP_0971,0.4,inferred,SAME_TENURE_COHORT
EMP_0031,EMP_0701,0.4,inferred,SAME_TENURE_COHORT
EMP_0031,EMP_0041,0.4,inferred,SAME_TENURE_COHORT
EMP_0031,EMP_0039,0.4,inferred,SAME_TENURE_COHORT
EMP_0034,EMP_0105,0.4,inferred,SAME_TENURE_COHORT
EMP_0034,EMP_0364,0.4,inferred,SAME_TENURE_COHORT
EMP_0034,EMP_0382,0.4,inferred,SAME_TENURE_COHORT
EMP_0039,EMP_0829,0.4,inferred,SAME_TENURE_COHORT
EMP_0039,EMP_1013,0.4,inferred,SAME_TENURE_COHORT
EMP_0039,EMP_0034,0.4,inferred,SAME_TENURE_COHORT
EMP_0041,EMP_0902,0.4,inferred,SAME_TENURE_COHORT
EMP_0041,EMP_0348,0.4,inferred,SAME_TENURE_COHORT
EMP_0041,EMP_1238,0.4,inferred,SAME_TENURE_COHORT
EMP_0042,EMP_1098,0.4,inferred,SAME_TENURE_COHORT
EMP_0042,EMP_1210,0.4,inferred,SAME_TENURE_COHORT
EMP_0042,EMP_0872,0.4,inferred,SAME_TENURE_COHORT
EMP_0043,EMP_0692,0.4,inferred,SAME_TENURE_COHORT
EMP_0043,EMP_0366,0.4,inferred,SAME_TENURE_COHORT
EMP_0043,EMP_0743,0.4,inferred,SAME_TENURE_COHORT
EMP_0048,EMP_0937,0.4,inferred,SAME_TENURE_COHORT
EMP_0048,EMP_0464,0.4,inferred,SAME_TENURE_COHORT
EMP_0048,EMP_1379,0.4,inferred,SAME_TENURE_COHORT
EMP_0050,EMP_0007,0.4,inferred,SAME_TENURE_COHORT
EMP_0050,EMP_1313,0.4,inferred,SAME_TENURE_COHORT
EMP_0050,EMP_1375,0.4,inferred,SAME_TENURE_COHORT
EMP_0051,EMP_0251,0.4,inferred,SAME_TENURE_COHORT
EMP_0051,EMP_1206,0.4,inferred,SAME_TENURE_COHORT
EMP_0051,EMP_0701,0.4,inferred,SAME_TENURE_COHORT
EMP_0068,EMP_0561,0.4,inferred,SAME_TENURE_COHORT
EMP_0068,EMP_0464,0.4,inferred,SAME_TENURE_COHORT
EMP_0068,EMP_0243,0.4,inferred,SAME_TENURE_COHORT
EMP_0070,EMP_0364,0.4,inferred,SAME_TENURE_COHORT
EMP_0070,EMP_1316,0.4,inferred,SAME_TENURE_COHORT
EMP_0070,EMP_0560,0.4,inferred,SAME_TENURE_COHORT
EMP_0073,EMP_0119,0.4,inferred,SAME_TENURE_COHORT
EMP_0073,EMP_0105,0.4,inferred,SAME_TENURE_COHORT
EMP_0073,EMP_0661,0.4,inferred,SAME_TENURE_COHORT
EMP_0075,EMP_0110,0.4,inferred,SAME_TENURE_COHORT
EMP_0075,EMP_0602,0.4,inferred,SAME_TENURE_COHORT
EMP_0075,EMP_0586,0.4,inferred,SAME_TENURE_COHORT
EMP_0078,EMP_1013,0.4,inferred,SAME_TENURE_COHORT
EMP_0078,EMP_0440,0.4,inferred,SAME_TENURE_COHORT
EMP_0078,EMP_1375,0.4,inferred,SAME_TENURE_COHORT
EMP_0083,EMP_0048,0.4,inferred,SAME_TENURE_COHORT
EMP_0083,EMP_1259,0.4,inferred,SAME_TENURE_COHORT
EMP_0083,EMP_0762,0.4,inferred,SAME_TENURE_COHORT
EMP_0087,EMP_0865,0.4,inferred,SAME_TENURE_COHORT
EMP_0087,EMP_0165,0.4,inferred,SAME_TENURE_COHORT
EMP_0087,EMP_0657,0.4,inferred,SAME_TENURE_COHORT
