:START_ID,:END_ID,weight:float,source,:TYPE
EMP_0864,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_0864,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_0101,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_1313,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_1401,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_1040,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_0630,1.0,inferred,SAME_MANAGER
EMP_0233,EMP_1290,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_0864,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_0101,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_1313,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_1401,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_1040,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_0233,1.0,inferred,SAME_MANAGER
EMP_0630,EMP_1290,1.0,inferred,SAME_MANAGER
